StartNode;EndNode;Distance;Time;Nodes visited
81441;56349;420719,9;106;269950
53515;6522;87710,86;35;99405
91454;27108;252370,5;81;231284
110726;47425;9687,76;1;3880
42113;52696;178056;40;115384
106289;53588;32058,04;5;13294
55116;20848;351325,2;113;265525
34257;79902;45091,04;6;20521
104553;99554;400999,7;103;292831
93590;286;233722,3;75;216703
98615;90348;107262,3;49;99152
71228;70747;359270,6;86;250596
108128;45414;79399,59;19;59107
40842;47166;33585,21;4;13239
42642;89384;188849,6;81;236592
95978;41029;218977;73;176305
82322;100971;183966,3;62;186023
110501;55288;182102,6;53;158996
72014;96172;5119,438;2;8425
47024;24934;79626,32;12;41213
39355;3400;408458,7;94;288302
72970;88191;134570,3;8;28695
91174;23187;147934,3;68;162466
7914;45322;253804,8;80;233918
61576;97868;86791,3;22;64056
108667;16443;271221,3;78;231274
68594;99644;284053;68;164307
41053;104785;381039,9;72;213923
98812;96459;218222,7;55;163911
12085;46039;38244,77;8;24699
99957;63559;173788,6;57;172157
4782;66421;345544,9;185;252253
70410;65259;236763,4;86;159049
84958;67836;263972,1;54;159455
24039;92661;261476,3;91;270005
7888;8380;133394;37;115818
52530;68655;104764,7;37;71698
74622;95214;105871,1;23;68829
17377;96729;27057,2;4;12382
93265;84941;74473,77;14;44371
37499;109211;283485,9;86;251364
99281;58466;156255,9;57;170208
86127;96369;75576,95;18;52661
59918;5716;139466;39;116301
70167;89247;350441,4;65;202945
84086;984;248067;76;216228
38668;89488;69802,99;31;63189
112310;6549;294807,4;65;193483
17781;25914;227842,2;64;192734
21283;82607;292997,8;98;247734
89980;100286;232975,9;45;135298
77604;113630;375699,5;82;244612
25022;59530;99269,33;22;69261
87407;2083;62200,77;9;28787
3193;40836;233074,1;92;222428
8539;104437;29675,78;14;41732
77969;60007;284289,3;55;168962
85704;104566;283339,4;97;269049
92824;102280;111267,6;14;46217
7918;18323;217521,7;66;150716
22493;32333;71102,27;22;62502
37986;51545;327613,6;82;235887
29987;98826;104643,6;28;83492
96596;10828;405243,2;91;273572
78947;67351;275646,3;94;226938
33019;97421;208948,9;76;216361
87928;16674;88225,37;11;32008
82178;107813;128589,9;22;65368
1930;86188;268022;55;164627
71347;387;22782,66;2;7219
32000;68084;280776,2;239;282176
86053;43249;172149,5;51;153447
106137;47922;10257,48;2;6087
11518;52302;144612,9;50;148187
34536;26907;404261,9;82;244852
46781;63333;422537,6;104;268028
45851;2959;143718,4;56;166062
60113;57646;54255,05;13;39337
62300;26059;11054,64;1;3649
83643;39887;55425,02;13;43054
76626;76579;114593,5;31;92754
36827;49534;79566,52;25;77759
7816;24809;10327,29;0;1455
16509;61294;190163,6;64;194359
91521;91583;259060,3;63;145744
30932;7531;256655,7;54;166406
100014;68101;363388;104;268546
59972;108428;31504,3;13;38608
59100;95756;360180,7;86;251530
87308;44293;291158,4;63;188080
89983;52040;170510,5;50;149532
20569;83378;141032,2;60;117012
51570;84968;281386,5;60;169104
70253;24531;386074,3;90;260668
45513;89563;330864,6;82;237057
2545;31459;88469,1;33;92069
37453;69113;195656,3;77;194998
31256;36518;78252,19;21;62088
35433;81327;346593,8;79;233728
31413;63915;69305,06;19;58806
74473;56645;15647,83;5;15626
37963;40145;155898,1;58;174772
32400;38320;98908,87;52;107880
16637;105703;404659,2;88;255447
111366;67564;305890,1;72;209549
80651;101578;13125,8;1;5156
66271;32333;235142;60;181236
100287;98479;93956,91;53;110703
28965;38130;309702,9;71;204627
86931;45232;130254,4;42;119908
46070;13071;272925,2;105;259773
4090;113164;198682,5;88;252451
83770;30901;516408,2;99;298275
36845;23454;210337,2;133;118414
72995;91465;274674,9;119;216542
64342;23392;53567,71;11;33470
83511;33338;129152,8;32;93688
14076;94115;229539,2;53;161039
50977;13250;203862,7;91;220881
68331;78242;74891,5;17;49002
26857;91640;391700,7;90;265160
8912;14659;81292,4;29;85746
78880;5119;166123,4;64;189134
82517;46468;297771,8;83;205975
108087;99873;56260,45;8;27583
72874;7484;271472,1;65;200675
10575;24892;186889,1;43;126753
36055;32927;75475,42;29;48666
68242;99427;244727,7;89;249951
68857;87912;56760,96;21;64301
108261;102878;31957,52;15;46668
37235;42879;476698,7;90;272736
62513;66949;71675,98;10;34146
84403;48541;164152;84;187984
100844;73681;170590;73;203052
40132;68121;153858,9;58;164461
4159;103123;40449,25;4;14888
34284;78650;308016;101;255113
62075;104068;100397,7;41;114633
15901;75692;33185,71;3;8599
97069;78161;105373,2;24;68967
64209;76027;181097,3;87;233347
22763;102876;327847,4;94;230336
58060;18050;180512,4;42;119738
58700;82596;70436,61;23;67422
9384;52636;306572,4;87;221833
97071;19725;126888,2;15;41943
91115;36000;88343,55;17;46360
75757;72703;290123,7;172;180896
10150;34406;141463,8;52;134523
9281;46383;75797,7;12;35103
81044;56145;120274,7;32;87781
20732;46624;156439,3;36;100424
112335;103283;174257,8;86;220360
37351;78480;172549;44;83700
72011;32568;350540,2;91;246267
5808;72766;104319,1;27;74514
92361;100178;96849,75;23;61126
44185;95219;246610,6;82;208567
104173;82794;355876,1;107;256768
14981;7995;76932,95;29;83050
84742;98125;360319,4;111;257810
12008;111975;228869,4;63;152469
22352;46507;209828,8;89;223109
28311;56890;325031,3;105;227840
65542;62662;146425,7;46;115556
68880;17826;344859,1;88;248023
108675;80309;196580,5;71;203357
82143;11436;347773,8;98;224279
19406;69108;263566,5;55;154943
45245;44595;395240,8;101;264279
94317;64502;341902,1;119;273092
