StartNode;EndNode;Distance;Time;Nodes visited
1009356;1332093;466983,8;51;33473
1266730;1120180;700803;526;301346
49652;999054;285085,5;66;54711
134418;1705831;141403,7;34;29715
69539;1592028;725391,1;1585;901367
1537514;1361274;400300,3;102;60688
841825;1080679;367864,4;290;151698
1707580;47482;497068,4;16;13921
971834;1457525;273089,3;23;19052
678912;537603;836550,1;132;106328
955001;316945;217176,3;30;26194
1159188;388603;476657,3;316;161528
690959;981377;151213;1;1386
1341791;1474573;323227,7;160;119131
1624988;1530909;750211,6;202;118278
1193286;1600773;504880,5;109;86021
1159182;641158;616657,8;606;381773
511055;1688254;203728,2;87;67028
101945;595304;267123,4;41;29396
1436552;544983;396415,8;125;85611
1107946;1401318;770010,9;179;123319
416119;492952;234026;81;35360
220420;866224;430507,4;284;218269
242870;1278003;336881,8;20;18775
853371;1334194;785142,1;77;69211
482611;1121718;796835,1;471;158470
81521;1184017;328251,8;5;4755
1064584;692410;414538,9;24;19352
172904;878127;187508,9;20;16957
429220;812873;175496,8;74;52869
1401861;404443;23826,2;8;7924
80843;283229;202855,4;35;27971
398742;1681340;451800,4;56;37234
202092;200667;567894,6;153;71396
569624;19326;425405,5;109;86729
1690136;376530;800606;606;367963
20973;133928;417947,5;173;131118
1174256;1298281;597337,8;122;83772
1645425;666235;398599,4;97;73038
168183;1569334;438179,6;281;212649
738506;63788;355750,3;41;34194
621201;290793;588517,6;341;206243
1048297;71568;573501,3;632;407387
1519251;1719763;778519,9;88;64544
1321172;1563243;1036481;1714;952780
1515349;968417;41357,34;1;1178
166083;623678;353181,9;293;159504
887720;703502;126779,7;23;17077
1320474;132890;432063,3;10;8663
94209;283679;889843,3;401;276162
664132;42203;669731,9;304;167135
708379;834045;541235,8;345;227161
1388657;106081;183219,9;46;21607
1100745;1692192;459739,7;13;9684
9761;1510902;258043,1;74;53879
791584;1251268;317280,8;1;1678
709943;604485;128013;45;35332
74367;1338073;368702,8;116;90144
1527840;1534649;163038;124;101769
979530;327173;689666,1;1589;734024
162088;226927;653895,4;545;332897
624093;750979;258008,8;27;23681
248575;721719;460653,6;312;156742
210446;1141893;639232,3;532;333418
990806;470753;458365;246;168407
1722405;1512534;498826,2;80;67687
572025;1629102;296420,2;25;22936
905201;696303;715896,3;203;103421
1100007;1531755;291738,1;55;17093
646734;942216;923240,8;265;166490
715422;1571658;237599;41;33437
1710002;1554869;403362,8;42;37569
771659;264081;495311;225;123484
258473;1306197;487972,9;43;35228
549311;1294246;744670,3;42;29684
920260;1530424;860346,4;644;412688
897959;1511634;254509,9;48;38981
121590;437204;104459,6;4;3986
1162708;1701998;610958,4;556;358294
585470;666938;457754,9;492;298206
1640234;1703450;479736,9;296;224865
701385;1283606;556385,1;99;71660
1533095;1023648;167749,4;83;22154
679242;825440;114955,8;136;33304
1443882;1122663;205694,3;25;7254
238065;1740684;524007,6;273;201543
887915;37313;339154,9;15;13281
1356350;335029;699535,8;287;188115
261524;813823;553722,1;579;384313
1723919;1729093;774254,7;63;51925
463245;648847;398005,2;34;27273
592582;1441159;445769,8;62;48822
1295091;191981;888220,9;597;379851
614575;804990;439716,5;44;34051
1507512;467997;777284,3;34;20966
1278193;1142608;630101,9;382;226653
946285;1724394;623297,1;284;187649
1046581;756570;407957,8;244;108089
870272;426395;928235;858;477185
21774;1492609;661190,6;236;191322
1329438;1177631;609342,6;99;86937
1606913;1171246;30312,93;4;927
1056180;924175;385421,5;91;45419
642509;860645;137922,3;11;10305
155284;1531160;183724,9;196;151511
175679;348885;466772,5;47;38955
1722677;600975;298585,9;8;8393
1110867;1004824;762192,9;244;132623
1733113;1341113;641301,8;147;108335
409072;1618851;291268,6;31;25523
1062527;975885;576993,1;172;134386
1589069;840056;308645,4;1;1603
794399;908119;659651,8;358;205905
735331;599779;252734,3;56;41865
1209355;1579728;186912,8;10;9139
792049;231310;891016,9;195;141432
399655;1030213;135791,8;8;5360
786533;1165934;481097,5;68;33993
384979;370916;672075,7;128;86351
1294071;1498529;189505,3;10;9023
649705;1720950;867882,1;1030;652973
292317;929307;296079,9;25;21415
1164529;345309;303538,8;335;182653
1520701;55195;283219,4;62;51713
1390301;1610047;898118,3;218;170628
437880;425259;701726,9;31;27029
1083536;1455185;704980,6;534;169813
115104;631027;61059,89;1;1010
1326776;216123;117244,5;2;2269
