StartNode;EndNode;Distance;Time;Nodes visited
1234833;895005;288368,4;401;198119
929461;257200;83603,11;2;2189
958675;766692;512508,7;49;39002
281337;1162440;640272;80;54339
21718;1740008;204818,3;37;27950
315551;522660;732260,8;266;115393
152654;1579396;364737,6;67;38579
409414;559091;559557,6;127;79139
492728;74450;303916,5;3;3293
304312;111045;167334,4;10;9188
772235;182995;206028,5;19;16531
18729;187657;297175,6;58;45132
1456029;346416;655278,4;263;131861
274266;1007083;810806;180;133913
1268318;617068;329179,3;168;131452
1434694;529484;473907,2;66;52223
296615;439657;717262,6;39;31523
825773;1566490;201115,7;11;10407
510021;444683;16479,96;2;2013
799433;56985;427793,7;9;4931
1179614;545420;489757;92;24000
416966;1452172;313990,2;75;55617
1322870;312698;337111,1;317;198844
1111162;636302;144796,9;5;4813
205650;1391386;251148,1;22;17870
1435270;467695;151815,5;27;21720
1316656;1123787;707443,9;119;62571
122769;746465;203867,4;24;18697
238471;771017;546412,1;166;124897
1055261;1357478;210159,8;30;14920
1093324;1018853;399864,1;77;54345
1638720;1149248;228534,8;8;6379
305313;1530665;519057,5;82;63308
226045;1457595;542311,7;10;6646
753622;587523;750064,9;216;78035
49070;48044;418583,8;68;43200
1019615;247327;322841,9;11;8746
676030;226814;688515,6;134;98651
1510627;311155;674781,6;76;53472
609386;1143331;475919,1;364;228915
979853;1382562;449606;45;33397
801432;1621531;250579,9;16;13459
926396;966999;387296,9;33;24622

969059;1352473;248287,1;14;8594
797371;809690;405206,6;54;27297
814222;1370539;146930,3;15;7480
1330119;953359;895855,1;327;155604
47576;1593995;425615,5;119;38393
91443;286061;333832,6;11;7252
724895;1539314;812966,3;277;138109
871659;1288455;216701,4;10;5885
1369704;1442525;373223,5;691;287266
37954;1308982;310416,8;292;44083
1017651;349998;440866;54;40490
1166792;1624929;1025334;1078;551897
745229;577551;543018,8;187;109892
108267;538693;411469,3;60;38486
1705844;250763;689136,9;136;59113
1658056;1417698;912910,8;263;171131
475406;1089359;274917,5;23;19897
18101;179622;563530,6;135;89065
41298;865402;127956,7;57;38454
570694;7291;176127,3;21;16496
779988;403780;369491,9;28;22636
402166;20792;220901,6;13;9890
1504265;1555697;249836;38;28725
531583;231854;61361,48;1;1431
1125789;830824;368881,1;23;18810
999118;1167573;856967,4;250;176406
998032;842173;136211,4;22;10667
334822;447372;244538,5;95;53680
1387496;933892;253034,6;64;41998
625309;752568;431680,1;41;24512
845091;1253482;329137,8;47;36959
1632749;1585279;780231,9;575;310211
372603;1051795;405146,1;57;40500
1063907;1526898;472691,7;51;26786
1270353;1190082;431698,8;54;41065
1401227;917150;339293,1;18;15706
738287;69193;222002,1;22;16428
1091496;613871;753292,6;259;134427
1692431;1146000;457291,3;256;151317
120663;934130;289130,7;25;19876
45968;1621012;440536,3;46;26808
1157502;875020;98446,22;10;8504
996243;490483;529148,1;183;111949
419665;1377831;197722,9;15;13531
754537;1315327;897449,7;644;378069
536724;852005;179745,8;86;66148
240093;1562725;504406,9;37;17105
906798;1271105;315465,5;305;171171
515629;561485;128529,7;19;11994
1392788;452469;407772,4;50;35089
491790;749283;810532,2;45;30503
706099;1680306;422143,8;75;53450
1174195;81967;723959,2;54;45778
429285;928839;133099,7;11;8133
1495276;1465549;426036,4;70;50134
499539;241496;70029,77;17;532
813228;1435778;634597,4;111;25042
706599;968678;275216,9;133;21430
95979;757728;430622,8;48;31552
589035;1626718;420439,3;46;29126
632130;1430674;870968,1;172;95734
772361;1699625;597078,8;109;66626
653357;549222;485700,8;273;110482
677057;920160;609549,4;197;124516
906993;1564990;254528,3;43;25046
98241;1130945;445629,9;317;170137
1497810;1412793;370463,6;339;165357
442340;1041283;128938,1;116;73572
914912;1221794;357730,7;53;33080
1445423;914276;109214,3;1;790
61197;1235425;238372,4;22;15932
1627154;1033586;441938;23;13565
815787;295228;216490,5;177;77651
38776;548913;89378,55;4;1514
856125;1682718;489305,3;55;29796
1175125;1502500;487840,5;864;389052
1717049;1510668;948968,1;425;208380
1564938;805715;472432,9;88;54129
1721521;751073;293904,5;33;19398
1026948;624973;336266,5;30;16233
1149509;1253724;191169,8;26;17950
21845;1674884;609257,3;162;48135
1367308;1113193;549012,9;155;81573
488284;1145034;381676;367;151095
993437;1409915;560630,1;669;342892
53765;618784;929035,8;817;487518
1056904;1419358;570412,3;499;290909
1565521;1141304;266803,1;233;57486
1548118;1483373;565075,3;200;74304
883837;358129;533374,1;180;105864
510445;128143;405522,9;40;29431
64035;968873;399341,4;71;51919
389865;340339;732804,5;258;147847
1158495;1731741;363785,5;15;13967
1592453;1381223;160742,9;19;15816
1064361;163839;128674,7;8;6527
194845;820449;173614,2;30;24828
1509365;552072;317148,8;36;29705
1213579;1696868;155415,2;46;29235
445153;1739095;315473,5;45;30821
1282196;522589;738726,9;291;166507
1648312;1080747;228757,2;72;55996
541095;260804;355028,1;102;80544
229028;453483;262243,8;35;30152
1581522;34810;920460,3;940;544018
360047;612935;330842,6;145;79228
1242143;554170;458633,3;38;8605
227197;1270107;698447,4;213;106390
214889;1051450;145342,7;6;6248
815374;1624038;844795,4;186;156851
474601;325090;436109,4;1245;733270
1551006;956108;753356,3;160;117559
1010770;1232183;167298;3;3465
122263;1719847;608700,3;86;71122
1120772;1091758;306167,3;420;250968
861285;1124541;171517,3;2;2443
1118144;936003;695702,9;80;65684
1436419;529756;149807;11;10364
822160;340554;53459,78;2;1683
606281;1379817;815138,7;360;221512
867709;859657;559896;83;68734
1611789;1438159;442610;25;20046
1411962;442529;1138710;140;113392
84959;1305241;287065,8;65;53714
81399;1622983;309769,4;44;21198
1006789;744059;500545,6;126;102307
1531917;565714;175021,4;10;9453
1264493;957106;700518,6;34;29320
716181;692204;142843,7;46;40345
69976;1053511;425747,2;126;103939
138540;253780;459598,2;20;17879
1077309;489764;639412;169;93050
918123;980104;182012,6;6;6446
1239390;306139;248493,9;18;16682
862350;1442039;356454,4;31;27267
447947;1618933;658521,7;63;46995
445169;1180155;337357,7;99;80258
756329;1359542;330503,3;31;26519
457899;112846;569836,4;974;369175
1288744;568240;350794,3;127;76667
1147224;561621;626582,7;44;27334
1638447;1242388;362689,2;259;191182
84968;117226;741362,6;179;144111
1337223;552430;394992,3;31;23498
1416109;479312;544444,3;80;42500
1558173;129956;809007,1;31;26317
270577;1297368;690202,5;33;28823
1241277;613928;124181,5;100;52691
1526947;1122025;627140,9;288;193040
520035;431857;131162,9;13;6284
947738;1523418;511700,5;133;96521
442890;383958;907183,9;155;113090
1175036;1132454;437980;83;66992
298889;351761;970461,5;53;43169
1553984;1649549;375472;349;210279
499207;603335;320481,5;15;14027
1148058;1246334;265162,2;19;17311
1650885;1321517;603044,7;48;41973
359932;1579520;338724,2;67;57246
404795;800896;891090,9;166;90063
1387479;686959;361757,8;38;31425
634629;383038;25721,07;5;4723
1628465;317990;127585;4;4353
1348356;892399;524914,7;176;143883
1683477;142400;404323,5;498;301001
1577194;1080472;429118,4;154;114879
1337409;856886;386244,9;108;84881
1365101;1368404;79857,93;35;28280
118730;1254488;253692,3;125;58811
67351;697113;381230,7;43;34316
1562936;985462;413963,8;250;144698
743045;1511158;300175,5;34;18234
1724704;954838;636521,6;118;92127
726496;768841;648366,5;175;85463
1391082;1664358;226586,1;43;8064
253996;1692025;511928,4;60;24745
717230;1463738;202677,3;11;9658
788977;260778;318839,2;74;57086
888789;59852;55421,48;12;10305
500092;857045;169228,3;4;4004
1528697;1151089;202601,5;11;10130
412882;1411583;460050,1;334;199313
72354;1163334;364304,5;159;123581
1010524;291172;558231,3;559;358929
1202787;850042;359536,1;64;55471
1512168;1452281;468916,9;60;53427
982559;402017;197964,2;20;18138
1688513;868069;537714,8;522;349575
402933;673627;580785,6;88;73152
1336093;579514;333783,8;15;13100
1245916;19119;173452,2;48;39997
1633002;1629768;525514,8;54;35041
363241;1618270;597726,1;39;31584
67909;1104323;293104,7;30;23407
479614;58878;53320,98;3;2795
754396;954904;260498,4;51;40309
913014;411847;655776,1;76;62662
572579;1076060;123122,7;21;18646
1438803;561370;50690;2;1849
1688913;435324;624078,9;189;99082
887608;1108600;320759;66;41845
461570;1148553;76558,02;7;6676
179856;1009548;526643,6;453;324162
